apple
asparagus
barley
bean
beet
beets
carrot
cauliflower
chickpea
chickpeas
chicory
clove
clover
cocksfoot
corn
cowpea
currants
fennel
garlic
ginger
grapes
grass
hemp
kale
lentil
linseed
lucerne
lupin
maize
oats
onion
paspalum
pea
peas
poppy
potato
radish
rakkyo
rape
rice
rye
ryegrass
sainfoin
sorghum
soybean
spinach
squash
strawberry
sunflower
swede
taro
trefoil
turnip
wheat
