[1] Agresearch                
[2] Agritek Ltd                                                 
[3] Auburn University                                           
[4] Ballance Agri-Nutrients Ltd                                 
[5] Bioenergy Cropping Solutions Ltd                            
[6] Bread Research Institute of Australia                       
[7] Commonwealth Scientific and Industrial Research Organisation
[8] Corson Grain Ltd                                            
[9] Dairying Research Corporation                               
[10] Dalgety Agresearch                                          
[11] Dalgety Crown Agresearch                                    
[12] Department of Scientific And Industrial Research            
[13] Federal University of Parana                                
[14] Federal University of Rio                                   
[15] Foundation For Arable Research                              
[16] Genetic Technologies Ltd                                    
[17] H&T Agronomics                                              
[18] Hortresearch                                                
[19] Ici New Zealand Limited                                     
[20] Invermay Agricultural Research Centre                       
[21] Iwm Consultancy                                             
[22] Iwm Consultancy                                             
[23] Lincoln Colledge                                            
[24] Lincoln University                                          
[25] Massey University                                           
[26] Midlands Seed Ltd                                           
[27] Ministry of Agriculture and Forestry (New Zealand)          
[28] Ministry of Works and Development                           
[29] National Institute of Water and Atmospheric Research        
[30] New Zealand Department of Agriculture                       
[31] New Zealand Institute for Crop and Food Research            
[32] New Zealand Institute for Plant and Food Research           
[33] New Zealand Meteorological Service                          
[34] New Zealand Pastoral Agriculture Research Institute         
[35] Nutrient Solutions Ltd                                      
[36] PGG Wrightson                                               
[37] Precision Fertilizers Limited                               
[38] Pyne Gould Guinness Ltd                                     
[39] Quin Environmentals                                         
[40] Ravensdown                                                  
[41] Rj Hill Laboratories Ltd                                    
[42] Ruakura Agricultural Research Centre                        
[43] Seed Force                                                  
[44] Seedbank New Zealand                                        
[45] Tara Hills High Country Research Station                    
[46] The Bhu Future Farming Centre                               
[47] The Canterbury (Nz) Malting Co. Ltd                         
[48] The Narrows Experimental Research Station                   
[49] Unitec Institute of Technology                              
[50] University of Auckland                                      
[51] University of Canterbury                                    
[52] University of Center-West Parana                            
[53] University of Nebraska                                      
[54] University of Queensland                                    
[55] University of Sunderland                                    
[56] University of Waikato                                        
[57] Wilcox                                                      
[58] Winchmore                                                   
[59] Wrightson Nma Limited   
